date,sold,capacity,revenue
2015-10-14,754,1476,8818.0
2015-10-15,901,1476,10686.0
2015-10-16,1577,2132,21740.0
2015-10-17,1253,1968,15352.0
2015-10-18,1414,1886,20138.0
2015-10-19,992,1558,12487.0
2015-10-20,723,1476,8265.0
2015-10-21,780,1476,9120.0
2015-10-22,1068,1476,13253.0
2015-10-23,1815,2132,25944.0
2015-10-24,1456,1968,18770.0
2015-10-25,1137,1394,15629.0
2015-10-26,1506,1804,20821.0
2015-10-27,999,1558,12183.0
2015-10-28,826,1476,9705.0
2015-10-29,864,1476,10363.0
2015-10-30,1491,2424,19607.0
2015-10-31,1182,1968,14552.0
2015-11-01,1201,1886,16745.0
2015-11-02,1068,1558,13443.0
2015-11-03,795,1476,9196.0
2015-11-04,686,1476,7938.0
2015-11-05,917,1476,11431.0
2015-11-06,1591,2132,23163.0
2015-11-07,1310,1968,16277.0
2015-11-08,1421,1886,20880.0
2015-11-09,932,1558,11842.0
2015-11-10,784,1476,9195.0
2015-11-11,952,1476,12094.0
2015-11-12,948,1476,12189.0
2015-11-13,1532,2113,22134.0
2015-11-14,1338,1968,17546.0
2015-11-15,1305,1886,19096.0
2015-11-16,940,1558,11733.0
2015-11-17,716,1476,8351.0
2015-11-18,781,1476,9245.0
2015-11-19,879,1476,11250.0
2015-11-20,1548,2132,22730.0
2015-11-21,1256,1968,16557.0
2015-11-22,1351,1886,20257.0
2015-11-23,934,1558,11866.0
2015-11-24,742,1476,8804.0
2015-11-25,876,1476,10724.0
2015-11-26,999,1476,13253.0
2015-11-27,1492,2132,22074.0
2015-11-28,1494,2134,20561.0
2015-11-29,1470,1886,22061.0
2015-11-30,1013,1558,13129.0
2015-12-01,784,1640,9353.0
2015-12-02,890,1640,10904.0
2015-12-03,1199,1820,15812.0
2015-12-04,1974,2723,31009.0
2015-12-05,1729,2317,26294.0
2015-12-06,1400,1804,22281.0
2015-12-07,1436,1723,21620.0
2015-12-08,1488,2156,22641.0
2015-12-09,1208,1640,16910.0
2015-12-10,1189,1804,15312.0
2015-12-11,1722,2624,25626.0
2015-12-12,1725,2215,24988.0
2015-12-13,1602,2296,24323.0
2015-12-14,1052,1804,14066.0
2015-12-15,958,1640,11827.0
2015-12-16,1127,1640,15256.0
2015-12-17,1057,1804,13736.0
2015-12-18,1738,2624,25944.0
2015-12-19,1634,2298,23220.0
2015-12-20,1474,2296,21366.0
2015-12-21,1099,1804,14588.0
2015-12-22,1129,1640,15249.0
2015-12-23,1539,2624,21781.0
2015-12-24,807,1395,10779.0
2015-12-25,807,1804,9360.0
2015-12-26,790,1812,9728.0
2015-12-27,1000,1804,13965.0
2015-12-28,1036,1804,13293.0
2015-12-29,975,1640,12636.0
2015-12-30,1233,1804,16103.0
2015-12-31,997,1394,13960.0
2016-01-01,809,1886,10800.0
2016-01-02,1117,2132,13383.0
2016-01-03,923,1804,11759.0
2016-01-04,930,1640,11616.0
2016-01-05,1011,1640,12496.0
2016-01-06,906,1804,10945.0
2016-01-07,790,1640,9519.0
2016-01-08,983,1804,12988.0
2016-01-09,991,2132,11783.0
2016-01-10,1126,2296,14639.0
2016-01-11,746,1804,9104.0
2016-01-12,571,1640,6572.0
2016-01-13,658,1648,7610.0
2016-01-14,755,1804,9250.0
2016-01-15,1255,2624,16938.0
2016-01-16,1059,2132,13449.0
2016-01-17,1065,2296,14483.0
